medcodeid	Term	six_month	three_month	unambiguous	twelve_month_rev	possible_gdm	context_dep	index
817481000006113	Haemoglobin A1c greater than 10% indicating poor diabetic control	NA	NA	1	NA	NA	NA	1393
7567371000006117	Diabetic retinopathy clinic	NA	NA	1	NA	NA	NA	1394
257621011	Hb. A1C > 10% - bad control	NA	NA	1	NA	NA	NA	1395
5933621000006118	Perceived control of insulin-dependent diabetes	NA	NA	1	NA	NA	NA	1396
6022871000006116	Clinically significant diabetic macular oedema	NA	NA	1	NA	NA	NA	1397
7966641000006113	Chronic kidney disease stage 4 due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1398
3459801000006118	Diabetes mellitus associated with hormonal aetiology	NA	NA	1	NA	NA	NA	1399
14077861000006116	Focal exudative maculopathy due to diabetes mellitus	NA	NA	1	NA	NA	NA	1400
8241711000006112	Discussion about changing insulin requirement in pregnancy	NA	NA	NA	NA	1	NA	1401
6630721000006117	Severe nonproliferative diabetic retinopathy with clinically significant macular oedema	NA	NA	1	NA	NA	NA	1402
6041341000006114	Focal diabetic maculopathy	NA	NA	1	NA	NA	NA	1403
12078961000006116	Diabetic cataract of bilateral eyes	NA	NA	1	NA	NA	NA	1404
12363701000006116	Gastroparesis with diabetes mellitus	NA	NA	1	NA	NA	NA	1405
8012071000006112	Type II diabetes on insulin	NA	NA	1	NA	NA	NA	1406
7567341000006113	Diabetes foot care clinic	NA	NA	1	NA	NA	NA	1407
12085251000006112	Severe nonproliferative diabetic retinopathy of right eye	NA	NA	1	NA	NA	NA	1408
14085781000006120	Macroalbuminuric nephropathy due to diabetes mellitus	NA	NA	1	NA	NA	NA	1409
8044171000006110	Neuropathic toe ulcer due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1410
6670981000006118	Diabetic wet gangrene of the foot	NA	NA	1	NA	NA	NA	1411
12085791000006112	Diabetic macular edema of left eye	NA	NA	1	NA	NA	NA	1412
6630581000006113	Very severe proliferative diabetic retinopathy	NA	NA	1	NA	NA	NA	1413
2609971000000114	Referred by Diabetes UK roadshow clinician	NA	NA	1	NA	NA	NA	1414
5009561000006114	Diabetic chronic painful polyneuropathy	NA	NA	1	NA	NA	NA	1415
1067271000006114	Adverse reaction to Human Initard 50/50 Insulin	NA	NA	1	NA	NA	NA	1416
6630661000006119	Non-high-risk proliferative diabetic retinopathy with no macular oedema	NA	NA	1	NA	NA	NA	1417
12224911000006116	Focal exudative diabetic maculopathy	NA	NA	1	NA	NA	NA	1418
5987801000006113	Diabetologist	NA	NA	1	NA	NA	NA	1419
1128051000006111	Adverse reaction to U 100 Insulin Syringe	NA	NA	1	NA	NA	NA	1420
6022611000006112	Mild nonproliferative diabetic retinopathy	NA	NA	1	NA	NA	NA	1421
6630851000006115	Very severe nonproliferative diabetic retinopathy	NA	NA	1	NA	NA	NA	1422
4938901000006116	Sliding scale insulin regime	NA	NA	1	NA	NA	NA	1423
8024771000006113	Rubeosis iridis due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1424
8352721000006117	Diabetic medicine service	NA	NA	1	NA	NA	NA	1425
7708081000006116	Gastroparesis due to diabetes mellitus	NA	NA	1	NA	NA	NA	1426
719591000006119	Malnutrition-related diabetes mellitus wth neuro complicatns	NA	NA	1	NA	NA	NA	1427
13810171000006112	Vitreous haemorrhage due to diabetes mellitus	NA	NA	1	NA	NA	NA	1428
14079871000006120	Hyperosmolar non-ketotic state due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1429
8239411000006115	Active insulin time	NA	NA	1	NA	NA	NA	1430
1118121000006110	Adverse reaction to Isophane insulin (human, crb)	NA	NA	1	NA	NA	NA	1431
1063651000006112	Adverse reaction to Isophane Insulin (Human, Prb)	NA	NA	1	NA	NA	NA	1432
6443801000006114	Insulin administration assessment	NA	NA	1	NA	NA	NA	1433
7966571000006116	Mixed hyperlipidaemia associated with type II diabetes mellitus	NA	NA	1	NA	NA	NA	1434
14083941000006112	Disorder of nervous system due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1435
1099861000006110	Adverse reaction to Isophane Insulin	NA	NA	1	NA	NA	NA	1436
14083931000006120	Hypoglycaemic coma due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1437
14071211000006112	Multiple complications due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1438
6022601000006114	Mild non proliferative retinopathy	NA	NA	1	NA	NA	NA	1439
14077381000006116	Hyperosmolar non-ketotic state due to diabetes mellitus	NA	NA	1	NA	NA	NA	1440
3292081000006115	Bullosis diabeticorum	NA	NA	1	NA	NA	NA	1441
7507871000006114	Diabetes self management plan	NA	NA	1	NA	NA	NA	1442
720311000006119	Malnutrit-relat diabetes mellitus with other spec comps	NA	NA	1	NA	NA	NA	1443
1977131000006118	Adverse reaction to Insulin Human	NA	NA	1	NA	NA	NA	1444
9313441000006116	Diabetes type 2 with diabetic ulcer of left foot	NA	NA	1	NA	NA	NA	1445
14083831000006112	Retinopathy due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1446
12085211000006112	Moderate nonproliferative diabetic retinopathy of left eye	NA	NA	1	NA	NA	NA	1447
7306751000006110	Brittle type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1448
7318191000006115	Change in insulin dose	NA	NA	1	NA	NA	NA	1449
2867421000006114	Insulin dependent diabetes mellitus type 1A	NA	NA	1	NA	NA	NA	1450
3253871000006114	Nondiabetic proliferative retinopathy	NA	NA	1	NA	NA	NA	1451
1128561000006115	Adverse reaction to Insulin Lispro Protamine Suspension	NA	NA	1	NA	NA	NA	1452
12085171000006110	Moderate nonproliferative diabetic retinopathy of right eye	NA	NA	1	NA	NA	NA	1453
1119321000006119	Adverse reaction to Insulin Soluble Aspart	NA	NA	1	NA	NA	NA	1454
5128751000006113	Diabetic thick skin syndrome	NA	NA	1	NA	NA	NA	1455
1020731000006114	Adverse reaction to Insulin Zinc Suspension Lente (Evans)	NA	NA	1	NA	NA	NA	1456
1131211000006113	Adverse reaction to Insulin zinc suspension mixed bovine	NA	NA	1	NA	NA	NA	1457
6630751000006114	Severe nonproliferative diabetic retinopathy with no macular oedema	NA	NA	1	NA	NA	NA	1458
1039391000006117	Adverse reaction to U100 Insulin Sterile, Single Use	NA	NA	1	NA	NA	NA	1459
5030771000006114	Diabetic traction retinal detachment	NA	NA	1	NA	NA	NA	1460
189711000000119	Lipoatrophic diabetes mellitus without complication	NA	NA	1	NA	NA	NA	1461
7966691000006116	Chronic kidney disease stage 3 due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1462
1934931000006112	Adverse reaction to Allpresan Diabetic	NA	NA	1	NA	NA	NA	1463
12085121000006114	Mild nonproliferative diabetic retinopathy of left eye	NA	NA	1	NA	NA	NA	1464
3514795011	Hyperosmolar hyperglycaemic coma due to diabetes mellitus without ketoacidosis	NA	NA	1	NA	NA	NA	1465
6022671000006115	Proliferative diabetic retinopathy - non high risk	NA	NA	1	NA	NA	NA	1466
3136191000006114	Administration of insulin	NA	NA	1	NA	NA	NA	1467
13791991000006116	Proteinuric nephropathy due to diabetes mellitus	NA	NA	1	NA	NA	NA	1468
14083771000006118	Exudative maculopathy due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1469
719561000006110	Malnutrition-related diabetes mellitus with multiple comps	NA	NA	1	NA	NA	NA	1470
1132361000006110	Adverse reaction to Insulin zinc suspension (human, prb)	NA	NA	NA	NA	NA	1	1471
1140951000006112	Adverse reaction to Insulin Isophane Bovine	NA	NA	NA	NA	NA	1	1472
6022631000006118	Moderate nonproliferative retinopathy	NA	NA	NA	NA	NA	1	1473
1132371000006115	Adverse reaction to Insulin zinc suspension (bovine and porcine)	NA	NA	NA	NA	NA	1	1474
8119331000006114	Hyperglycaemia due to type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1475
12085131000006112	Mild nonproliferative retinopathy of left eye	NA	NA	1	NA	NA	NA	1476
5549771000006119	DTSQ - Diabetes treatment satisfaction questionnaire	NA	NA	1	NA	NA	NA	1477
1031051000006113	Adverse reaction to Protamine Zinc Bovine Insulin	NA	NA	NA	NA	NA	1	1478
1048331000006114	Adverse reaction to Insulin Glulisine	NA	NA	NA	NA	NA	1	1479
6823401000006118	Insulin lispro	NA	NA	NA	NA	NA	1	1480
8428501000006113	Seen in diabetes preconception counselling clinic	NA	NA	1	NA	NA	NA	1481
14073091000006112	Hypoglycaemia due to diabetes mellitus	NA	NA	1	NA	NA	NA	1482
4636611000006112	Hypoglycemia unawareness	NA	NA	1	NA	NA	NA	1483
12085071000006114	Mild nonproliferative diabetic retinopathy of right eye	NA	NA	1	NA	NA	NA	1484
1013681000006117	Adverse reaction to Short-Acting Insulin Preparations	NA	NA	1	NA	NA	NA	1485
498512013	Genetic syndromes of diabetes mellitus	NA	NA	1	NA	NA	NA	1486
7969001000006112	Foot ulcer due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1487
1132291000006113	Adverse reaction to Soluble Insulin (Bovine, highly purified)	NA	NA	NA	NA	NA	1	1488
1093131000006110	Adverse reaction to Isophane Insulin (Human Pyr)	NA	NA	NA	NA	NA	1	1489
1025241000006118	Adverse reaction to Insulin Aspart	NA	NA	NA	NA	NA	1	1490
1140931000006117	Adverse reaction to Insulin Isophane Porcine	NA	NA	NA	NA	NA	1	1491
1999901000006113	Adverse reaction to Glucorx Allpresan Diabetic	NA	NA	1	NA	NA	NA	1492
13947541000006114	Administration of insulin using insulin pump	NA	NA	1	NA	NA	NA	1493
4636621000006116	Hypoglycaemia unawareness	NA	NA	1	NA	NA	NA	1494
3634971000006115	Insulin pump	NA	NA	1	NA	NA	NA	1495
6041431000006111	Mixed diabetic maculopathy	NA	NA	1	NA	NA	NA	1496
7966761000006115	Chronic kidney disease stage 2 due to type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	1497
1088571000006114	Adverse reaction to Insulin Syringe	NA	NA	NA	NA	NA	1	1498
13949651000006116	No diabetic maculopathy of right eye	NA	NA	1	NA	NA	NA	1499
5231271000006117	Insulin used	NA	NA	NA	NA	NA	1	1500
12085291000006120	Severe nonproliferative diabetic retinopathy of left eye	NA	NA	1	NA	NA	NA	1501
5976641000006118	Admission to diabetic department	NA	NA	1	NA	NA	NA	1502
8195201000006113	History of diabetic complication	NA	NA	1	NA	NA	NA	1503
13966631000006112	Newly diagnosed type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	1504
1135841000006113	Adverse reaction to Insulin Glulisine	NA	NA	NA	NA	NA	1	1505
14071441000006112	Cellulitis of foot due to diabetes mellitus	NA	NA	1	NA	NA	NA	1506
8440231000006115	Eating disorder co-occurrent with diabetes mellitus type 1	NA	NA	1	NA	NA	NA	1507
1099881000006117	Adverse reaction to Isophane Insulin (Human)	NA	NA	NA	NA	NA	1	1508
1124301000006115	Adverse reaction to Human Soluble Insulin, Prb	NA	NA	NA	NA	NA	1	1509
13953421000006114	At low risk of ulcer of left foot due to diabetes mellitus	NA	NA	1	NA	NA	NA	1510
