medcodeid	Term	delivery
306230011	Quadruplet pregnancy unspecified	NA
306231010	Quadruplet pregnancy - delivered	NA
306232015	Quadruplet pregnancy with antenatal problem	NA
306233013	Quadruplet pregnancy NOS	NA
306235018	Multiple delivery, all spontaneous	NA
306236017	Multiple delivery, all by forceps and vacuum extractor	NA
306237014	Multiple delivery, all by caesarean section	NA
306239012	Other multiple pregnancy	NA
306240014	Other multiple pregnancy unspecified	NA
306241013	Other multiple pregnancy - delivered	NA
306242018	Other multiple pregnancy with antenatal problem	NA
306243011	Other multiple pregnancy NOS	NA
306244017	Multiple pregnancy NOS	NA
306245016	Multiple pregnancy NOS, unspecified	NA
306246015	Multiple pregnancy NOS - delivered	NA
306247012	Multiple pregnancy NOS with antenatal problem	NA
306252019	Unstable lie unspecified	NA
306253012	Unstable lie - delivered	NA
306254018	Unstable lie with antenatal problem	NA
306255017	Unstable lie NOS	NA
306256016	Cephalic version NOS	NA
306257013	Cephalic version NOS, unspecified	NA
306258015	Cephalic version NOS - delivered	NA
306259011	Cephalic version NOS with antenatal problem	NA
306266012	Breech presentation unspecified	NA
306267015	Breech presentation - delivered	NA
306268013	Breech presentation with antenatal problem	NA
306269017	Breech presentation NOS	NA
306270016	Oblique lie unspecified	NA
306271017	Oblique lie - delivered	NA
306272012	Oblique lie with antenatal problem	NA
306274013	Transverse lie unspecified	NA
306275014	Transverse lie - delivered	NA
306276010	Transverse lie with antenatal problem	NA
306281018	Face presentation - delivered	NA
306285010	Brow presentation - delivered	NA
306290013	High head at term	NA
306291012	High head at term unspecified	NA
306292017	High head at term - delivered	NA
306293010	High head at term with antenatal problem	NA
306294016	High head at term NOS	NA
306295015	Multiple pregnancy with malpresentation	NA
306296019	Multiple pregnancy with malpresentation unspecified	NA
306297011	Multiple pregnancy with malpresentation - delivered	NA
306299014	Multiple pregnancy with malpresentation NOS	NA
306301019	Prolapsed arm - delivered	NA
306307015	Other fetal malposition and malpresentation unspecified	NA
306310010	Other fetal malposition and malpresentation NOS	NA
306311014	Fetal malposition and malpresentation NOS	NA
306312019	Fetal malposition and malpresentation NOS, unspecified	NA
306313012	Fetal malposition and malpresentation NOS - delivered	NA
306319011	Disproportion - major pelvic abnormality	NA
306320017	Disproportion - major pelvic abnormality unspecified	NA
306321018	Disproportion - major pelvic abnormality - delivered	NA
306325010	Disproportion - major pelvic abnormality NOS	NA
306326011	Generally contracted pelvis unspecified	NA
306327019	Generally contracted pelvis - delivered	NA
306328012	Generally contracted pelvis with antenatal problem	NA
306329016	Generally contracted pelvis NOS	NA
306330014	Inlet pelvic contraction unspecified	NA
306331013	Inlet pelvic contraction - delivered	NA
306332018	Inlet pelvic contraction with antenatal problem	NA
306333011	Inlet pelvic contraction NOS	NA
306334017	Outlet pelvic contraction unspecified	NA
306335016	Outlet pelvic contraction - delivered	NA
306336015	Outlet pelvic contraction with antenatal problem	NA
306337012	Outlet pelvic contraction NOS	NA
306338019	Mixed feto-pelvic disproportion	NA
306339010	Mixed feto-pelvic disproportion unspecified	NA
306340012	Mixed feto-pelvic disproportion - delivered	NA
306341011	Mixed feto-pelvic disproportion with antenatal problem	NA
306342016	Mixed feto-pelvic disproportion NOS	NA
306343014	Large fetus causing disproportion unspecified	NA
306344015	Large fetus causing disproportion - delivered	NA
306345019	Large fetus causing disproportion with antenatal problem	NA
306346018	Large fetus causing disproportion NOS	NA
306347010	Hydrocephalic disproportion	NA
306348017	Hydrocephalic disproportion unspecified	NA
306349013	Hydrocephalic disproportion - delivered	NA
306350013	Hydrocephalic disproportion with antenatal problem	NA
306351012	Hydrocephalic disproportion NOS	NA
306355015	Other fetal abnormality causing disproportion unspecified	NA
306356019	Other fetal abnormality causing disproportion - delivered	NA
306358018	Other fetal abnormality causing disproportion NOS	NA
306359014	Other disproportion	NA
306360016	Other disproportion unspecified	NA
306361017	Other disproportion - delivered	NA
306362012	Other disproportion with antenatal problem	NA
306364013	Other disproportion NOS	NA
306365014	Disproportion NOS	NA
306366010	Disproportion NOS, unspecified	NA
306367018	Disproportion NOS - delivered	NA
306368011	Disproportion NOS with antenatal problem	NA
306433010	Retroverted incarcerated gravid uterus	NA
306434016	Retroverted incarcerated gravid uterus unspecified	NA
306435015	Retroverted incarcerated gravid uterus - delivered	NA
306439014	Retroverted incarcerated gravid uterus NOS	NA
306472014	Cervical incompetence unspecified	NA
306473016	Cervical incompetence - delivered	NA
306475011	Cervical incompetence with antenatal problem	NA
306477015	Cervical incompetence NOS	NA
306482010	Other cervical abnormality affecting obstetric care	NA
306483017	Other cervical abnormality - baby delivered	NA
306568012	Known or suspected fetal abnormality	NA
306574012	Fetus with central nervous system malformation unspecified	NA
306575013	Fetus with central nervous system malformation - delivered	NA
306579019	Fetus with central nervous system malformation NOS	NA
306584013	Fetus with chromosomal abnormality unspecified	NA
306585014	Fetus with chromosomal abnormality - delivered	NA
306586010	Fetus with chromosomal abnormality with antenatal problem	NA
306589015	Fetus with chromosomal abnormality NOS	NA
306590012	Fetus with hereditary disease	NA
306591011	Fetus with hereditary disease unspecified	NA
306592016	Fetus with hereditary disease - delivered	NA
306593014	Fetus with hereditary disease with antenatal problem	NA
306594015	Fetus with hereditary disease NOS	NA
306598017	Fetus with viral damage via mother unspecified	NA
306599013	Fetus with viral damage via mother - delivered	NA
306600011	Fetus with viral damage via mother with antenatal problem	NA
306602015	Fetus with viral damage via mother NOS	NA
306607014	Fetus with damage due to other maternal disease unspecified	NA
306608016	Fetus with damage due to other maternal disease - delivered	NA
306610019	Fetus with damage due to other maternal disease NOS	NA
306611015	Fetus with drug damage	NA
306612010	Fetus with drug damage unspecified	NA
306613017	Fetus with drug damage - delivered	NA
306614011	Fetus with drug damage with antenatal problem	NA
306615012	Maternal care for (suspected) damage to fetus from alcohol	NA
306616013	Fetus with drug damage NOS	NA
306617016	Fetus with radiation damage	NA
306618014	Fetus with radiation damage unspecified	NA
306619018	Fetus with radiation damage - delivered	NA
306620012	Fetus with radiation damage with antenatal problem	NA
306621011	Fetus with radiation damage NOS	NA
306623014	Fetus with damage due to coil	NA
306628017	Fetus with other damage NEC	NA
306629013	Fetus with other damage NEC, unspecified	NA
306630015	Fetus with other damage NEC - delivered	NA
306631016	Fetus with other damage NEC with antenatal problem	NA
306632011	Fetus with other damage NEC NOS	NA
306633018	Fetus with damage NOS	NA
306634012	Fetus with damage NOS, unspecified	NA
306635013	Fetus with damage NOS - delivered	NA
306636014	Fetus with damage NOS with antenatal problem	NA
306640017	Other fetal and placental problems	NA
306641018	Fetal-maternal haemorrhage unspecified	NA
306644014	Fetal-maternal haemorrhage - delivered	NA
306645010	Fetal-maternal haemorrhage with antenatal problem	NA
306648012	Fetal-maternal haemorrhage NOS	NA
306656010	Rhesus isoimmunisation - delivered	NA
306659015	Rhesus isoimmunisation with antenatal problem	NA
306681013	Nonreassuring foetal status	NA
306682018	Fetal distress - delivered	NA
306683011	Fetal distress with antenatal problem	NA
306690018	Labour and delivery complic by meconium in amniotic fluid	NA
306695011	Maternal care for fetal hypoxia	NA
306703019	Foetal distress	NA
306708011	Dead foetus in utero	NA
306710013	Intrauterine death unspecified	NA
306711012	Intrauterine death - delivered	NA
306712017	Intrauterine death with antenatal problem	NA
306713010	Intrauterine death NOS	NA
306717011	Small-for-dates unspecified	NA
306719014	Small-for-dates - delivered	NA
306721016	Small-for-dates with antenatal problem	NA
306723018	Small-for-dates NOS	NA
306731011	Large-for-dates unspecified	NA
306732016	Large-for-dates with antenatal problem	NA
306736018	Large-for-dates NOS	NA
306740010	Other placental conditions unspecified	NA
306741014	Other placental conditions - delivered	NA
306742019	Other placental conditions with antenatal problem	NA
306743012	Placental transfusion syndromes	NA
306749011	Other placental conditions NOS	NA
306750011	Other fetal problems	NA
306757014	Other feto-placental problems unspecified	NA
306759012	Other feto-placental problems with antenatal problem	NA
306760019	Other feto-placental problems NOS	NA
306761015	Feto-placental problems NOS	NA
306762010	Feto-placental problems NOS, unspecified	NA
306763017	Feto-placental problems NOS - delivered	NA
306764011	Feto-placental problems NOS with antenatal problem	NA
306769018	Polyhydramnios unspecified	NA
306770017	Polyhydramnios - delivered	NA
306771018	Polyhydramnios with antenatal problem	NA
306773015	Polyhydramnios NOS	NA
306776011	Other problems of amniotic cavity and membranes	NA
306777019	Oligohydramnios unspecified	NA
306778012	Oligohydramnios - delivered	NA
306779016	Oligohydramnios with antenatal problem	NA
306781019	Oligohydramnios NOS	NA
306782014	Premature rupture of membranes unspecified	NA
306783016	Premature rupture of membranes - delivered	NA
306784010	Premature rupture of membranes with antenatal problem	NA
306788013	Premature rupture of membranes, labour delayed by therapy	NA
306791013	Premature rupture of membranes NOS	NA
306800014	Prolonged artificial rupture of membranes - delivered	NA
306801000006117	[M]Chorioangioma	NA
306809010	Amniotic cavity infection unspecified	NA
306810017	Amniotic cavity infection - delivered	NA
306811018	Amniotic cavity infection with antenatal problem	NA
306812013	Amniotic cavity infection NOS	NA
306818012	Other problem of amniotic cavity and membranes unspecified	NA
306819016	Other problem of amniotic cavity and membranes - delivered	NA
306823012	Other problem of amniotic cavity and membranes NOS	NA
306824018	Amniotic cavity and membrane problems NOS	NA
306825017	Amniotic cavity and membrane problem NOS, unspecified	NA
306826016	Amniotic cavity and membrane problem NOS - delivered	NA
306828015	Amniotic cavity and membrane problem NOS	NA
306832014	Failed mechanical induction - delivered	NA
306843018	Failed medical or unspecified induction - delivered	NA
306851015	Unspecified maternal pyrexia during labour - delivered	NA
306861010	Septicaemia during labour - delivered	NA
306867014	Grand multiparity - delivered	NA
306868016	Grand multiparity with antenatal problem	NA
306869012	Grand multiparity NOS	NA
306870013	Elderly primigravida unspecified	NA
306871012	Elderly primigravida - delivered	NA
306872017	Elderly primigravida with antenatal problem	NA
306873010	Elderly primigravida NOS	NA
306880012	Other problems affecting labour - delivered	NA
306890016	Problems affecting labour NOS - delivered	NA
306896010	Abnormal findings on antenatal screening of mother	NA
306906019	Malnutrition in pregnancy	NA
306907011	Retained intrauterine contraceptive device in pregnancy	NA
306908018	Other specified risk factors in pregnancy	NA
306909014	Finding related to risk factor in pregnancy	NA
306910016	Complications occurring during labour and delivery	NA
306919015	Obstructed labour due to fetal malposition - delivered	NA
306939016	Obstructed labour caused by bony pelvis - delivered	NA
306959017	Obstructed labour caused by pelvic soft tissues - delivered	NA
306967013	Deep transverse arrest - delivered	NA
306970012	Persistent occipitoposterior or occipitoanterior position	NA
306976018	Shoulder dystocia - delivered	NA
306980011	Locked twins - delivered	NA
306987014	Other failed trial of labour - delivered	NA
307000016	Other failed forceps - delivered	NA
307005014	Other failed ventouse extraction - delivered	NA
307015015	Other causes of obstructed labour - delivered	NA
307024012	Obstructed labour NOS - delivered	NA
307038017	Primary uterine inertia - delivered	NA
307044018	Secondary uterine inertia - delivered	NA
307052015	Other uterine inertia - delivered	NA
307058016	Precipitate labour - delivered	NA
307073015	Hypertonic uterine inertia - delivered	NA
307081019	Abnormality of forces of labour NOS - delivered	NA
307087015	Prolonged first stage - delivered	NA
307094017	Unspecified prolonged labour - delivered	NA
307102010	Prolonged second stage - delivered	NA
307105012	Delayed delivery of second twin, triplet etc	NA
307106013	Delayed delivery second twin unspecified	NA
307107016	Delayed delivery second twin - delivered	NA
307108014	Delayed delivery second twin with antenatal problem	NA
307109018	Delayed delivery second twin etc NOS	NA
307117014	Prolapse of cord - delivered	NA
307122014	Cord tight round neck - delivered	NA
307136016	Cord tangled with compression - delivered	NA
307141012	Other cord entanglement - delivered	NA
307145015	Short cord - delivered	NA
307157012	Vasa praevia unspecified	NA
307160017	Vasa praevia - delivered	NA
307161018	Vasa praevia with antenatal problem	NA
307164014	Vasa praevia NOS	NA
307168012	Vascular lesions of cord unspecified	NA
307169016	Vascular lesions of cord - delivered	NA
307172011	Vascular lesions of cord with antenatal problem	NA
307175013	Vascular lesions of cord NOS	NA
307176014	Other umbilical cord complications	NA
307177017	Other umbilical cord complications unspecified	NA
307178010	Other umbilical cord complications - delivered	NA
307179019	Other umbilical cord complications with antenatal problem	NA
307180016	Other umbilical cord complications NOS	NA
307181017	Umbilical cord complications NOS	NA
307182012	Umbilical cord complications NOS, unspecified	NA
307183019	Umbilical cord complications NOS - delivered	NA
307184013	Umbilical cord complications NOS with antenatal problem	NA
307197010	First degree perineal tear during delivery, unspecified	NA
307198017	First degree perineal tear during delivery - delivered	NA
307204019	First degree perineal tear during delivery NOS	NA
307210019	Second degree perineal tear during delivery, unspecified	NA
307211015	Second degree perineal tear during delivery - delivered	NA
307213017	Second degree perineal tear during delivery NOS	NA
307217016	Third degree perineal tear during delivery, unspecified	NA
307218014	Third degree perineal tear during delivery - delivered	NA
307220012	Third degree perineal tear during delivery NOS	NA
307221011	Fourth degree perineal tear during delivery, unspecified	NA
307222016	Fourth degree perineal tear during delivery - delivered	NA
307224015	Fourth degree perineal tear during delivery NOS	NA
307225019	Perineal laceration during delivery	NA
307226018	Unspecified perineal laceration during delivery, unspecified	NA
307227010	Unspecified perineal laceration during delivery - delivered	NA
307229013	Unspecified perineal laceration during delivery NOS	NA
307237017	Vulval and perineal haematoma during delivery, unspecified	NA
307238010	Vulval and perineal haematoma during delivery - delivered	NA
307242013	Vulval and/or perineal haematoma during delivery	NA
307244014	Other vulval and perineal trauma during delivery	NA
307246011	Other vulval/perineal trauma during delivery- delivered	NA
307248012	Other vulval/perineal trauma during delivery NOS	NA
307249016	Vulval/perineal trauma during delivery NOS	NA
307250016	Vulval/perineal trauma during delivery NOS unspec	NA
307251017	Vulval/perineal trauma during delivery NOS - delivered	NA
307259015	Rupture of uterus before labour - delivered	NA
307269014	Rupture of uterus during and after labour - delivered	NA
307287012	Obstetric laceration of cervix - delivered	NA
307293016	Obstetric high vaginal laceration - delivered	NA
307301012	Other obstetric pelvic organ damage - delivered	NA
307315014	Obstetric damage to pelvic joints and ligaments - delivered	NA
307323011	Obstetric pelvic haematoma - delivered	NA
307332013	Other obstetric trauma - delivered	NA
307333015	Other obstetric trauma - delivered with postnatal problem	NA
307339016	Obstetric trauma NOS - delivered	NA
307425017	Complications of anaesthesia during labour and delivery	NA
307484015	Failed or difficult intubation during pregnancy	NA
307496010	Failed or difficult intubation during labour and delivery	NA
307521012	Obstetric anaesthetic complications NOS - delivered	NA
307530016	Other complications of labour and delivery NEC	NA
307533019	Maternal distress - delivered	NA
307534013	Maternal distress - delivered with postnatal problem	NA
307535014	Maternal distress with antenatal problem	NA
307539015	Obstetric shock - delivered	NA
307540018	Obstetric shock - delivered with postnatal problem	NA
307544010	Maternal hypotension syndrome unspecified	NA
307545011	Maternal hypotension syndrome - delivered	NA
307547015	Maternal hypotension syndrome with antenatal problem	NA
307549017	Maternal hypotension syndrome NOS	NA
307550017	Post-delivery acute renal failure unspecified	NA
307552013	Post-delivery acute renal failure with postnatal problem	NA
307553015	Post-delivery acute renal failure NOS	NA
307554014	Other complications of obstetric procedures	NA
307555010	Other complications of obstetric procedures unspecified	NA
307563011	Other complications of obstetric procedures NOS	NA
307569010	Forceps delivery unspecified	NA
307570011	Forceps delivery - delivered	NA
307577014	Delivery by combination of forceps and vacuum extractor	NA
307579012	Forceps delivery NOS	NA
307583012	Vacuum extractor delivery unspecified	NA
307584018	Vacuum extractor delivery - delivered	NA
307585017	Vacuum extractor delivery NOS	NA
307590019	Breech extraction - delivered	NA
307595012	Caesarean delivery unspecified	NA
307596013	Caesarean delivery - delivered	NA
307599018	Caesarean section - pregnancy at term	NA
307600015	Delivery by elective caesarean section	NA
307603018	Delivery by emergency caesarean section	NA
307604012	Delivery by caesarean hysterectomy	NA
307608010	Caesarean delivery NOS	NA
307617010	Other complications of labour and delivery	NA
307618017	Other complications of labour and delivery unspecified	NA
307621015	Other complications of labour and delivery - delivered	NA
307636017	Other complications of labour and delivery NOS	NA
307641013	Complications of labour and delivery NOS, unspecified	NA
307642018	Complications of labour and delivery NOS - delivered	NA
307657013	Other specified complications of labour or delivery	NA
307658015	Complications of labour and delivery NOS	NA
307739018	Antenatal deep vein thrombosis unspecified	NA
307740016	Antenatal deep vein thrombosis - delivered	NA
307741017	Antenatal deep vein thrombosis with antenatal complication	NA
307742012	Antenatal deep vein thrombosis NOS	NA
307765019	Haemorrhoids in pregnancy and the puerperium - delivered	NA
307781012	Cerebral venous thrombosis in pregnancy	NA
307821017	Obstetric air pulmonary embolism - delivered	NA
307827018	Amniotic fluid pulmonary embolism - delivered	NA
307834016	Obstetric blood-clot pulmonary embolism - delivered	NA
307862011	Other obstetric pulmonary embolism - delivered	NA
307869019	Obstetric pulmonary embolism NOS - delivered	NA
307871019	Obstetric pulmonary embolism NOS with antenatal complication	NA
307880019	Puerperal cerebrovascular disorder - delivered	NA
307889018	Caesarean wound disruption unspecified	NA
307893012	Caesarean wound disruption with postnatal complication	NA
307896016	Caesarean wound disruption NOS	NA
307916016	Placental polyp - delivered with postnatal complication	NA
307939010	Obstetric nipple infection - delivered	NA
307941011	Obstetric nipple infection with antenatal complication	NA
307948017	Obstetric breast abscess - delivered	NA
307950013	Obstetric breast abscess with antenatal complication	NA
307966010	Other obstetric breast infection - delivered	NA
307968011	Other obstetric breast infection with antenatal complication	NA
307973017	Obstetric breast infection NOS - delivered	NA
307975012	Obstetric breast infection NOS with antenatal complication	NA
308017013	Failure of lactation - delivered	NA
308018015	Failure of lactation - delivered with postnatal complication	NA
308023015	Suppressed lactation - delivered	NA
308024014	Suppressed lactation - delivered with postnatal complication	NA
308033011	Galactorrhoea in pregnancy and the puerperium - delivered	NA
308047010	Other disorder of lactation - delivered	NA
308054016	Disorder of lactation NOS - delivered	NA
308061017	Maternal care for fetus	NA
308063019	Maternal care for other known or suspected fetal problems	NA
308064013	Maternal care for hydrops fetalis	NA
308066010	Maternal care for diminished fetal movements	NA
308070019	Maternal care for intrauterine growth retardation	NA
308071015	Maternal care for poor fetal growth	NA
308081016	Abnormal products of conception	NA
308098016	[X]Other haemorrhage in early pregnancy	NA
308100016	[X]Other vomiting complicating pregnancy	NA
308101017	[X]Other venous complications in pregnancy	NA
308102012	Urinary tract infection in pregnancy	NA
308104013	Finding related to pregnancy	NA
308105014	[X]Other abnormal findings on antenatal screening of mother	NA
308113010	[X]Other multiple gestation	NA
308114016	[X]Other complications specific to multiple gestation	NA
308115015	[X]Maternal care for other malpresentation of fetus	NA
308116019	Disorder of uterine cervix	NA
308117011	[X]Maternal care for other abnormalities of gravid uterus	NA
308118018	Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy	NA
308125013	[X]Other disorders of amniotic fluid and membranes	NA
308126014	[X]Other placental disorders	NA
308127017	[X]Other premature separation of placenta	NA
308131011	[X]Complications of labour and delivery	NA
308165012	[X]Other complications of obstetric surgery and procedures	NA
308167016	[X]Other specified complications of labour and delivery	NA
308176011	Delivery finding	NA
308177019	[X]Other single spontaneous delivery	NA
308178012	[X]Other and unspecified forceps delivery	NA
308179016	[X]Other single delivery by caesarean section	NA
308181019	[X]Other assisted breech delivery	NA
308182014	[X]Other manipulation-assisted delivery	NA
308183016	[X]Other specified assisted single delivery	NA
308185011	[X]Other multiple delivery	NA
308186012	[X]Assisted single delivery, unspecified	NA
308187015	Multiple birth delivery	NA
308189017	[X]Other infection of genital tract following delivery	NA
308190014	[X]Other genitourinary tract infections following delivery	NA
309006017	Alopecia of pregnancy	NA
30911000006117	Other blood-group isoimmunisation with antenatal problem	NA
3119641000006110	Frank breech delivery	NA
313531010	Absence or hypoplasia of the umbilical artery	NA
313532015	Single umbilical artery	NA
313533013	Absence or hypoplasia of the umbilical artery NOS	NA
31406012	Low forceps delivery	NA
31456019	Grand multipara	NA
315211010	Harlequin fetus	NA
315560016	Other specified conjoined twins	NA
315571015	Fetal alcohol syndrome	NA
315864018	Fetus or neonate affected by maternal incompetent cervix	NA
315866016	Fetus or neonate affected by maternal oligohydramnios	NA
315911016	Fetus or neonate affected by placenta previa	NA
315932012	Fetus or neonate affected by marginal sinus rupture	NA
315943016	Fetus or neonate affected by placental dysfunction	NA
315944010	Fetus or neonate affected by placental infarction	NA
315945011	Fetus or neonate affected by placental insufficiency	NA
315947015	Fetus or neonate affected by placental abnormality NOS	NA
315973013	Fetus or neonate affected by placentitis unspecified	NA
316013010	Fetus or neonate affected by forceps delivery	NA
316014016	Fetus or neonate affected by vacuum extraction delivery	NA
316015015	Fetus or neonate affected by caesarean section	NA
316037010	Fetus or neonate affected by precipitate delivery	NA
316071018	Fetus or neonate affected by instrumental delivery	NA
316092018	Fetus small-for-dates with signs of malnutrition	NA
316094017	Fetal malnutrition without mention of 'light for dates'	NA
3161311000006116	Total hysterectomy after caesarean delivery	NA
316237017	Scalpel wound of fetal skin due to delivery procedure	NA
316465018	Clostridial intra-amniotic fetal infection	NA
316466017	Eschericha coli intra-amniotic fetal infection	NA
316502016	Fetal blood loss	NA
316505019	Fetal blood loss, unspecified	NA
316508017	Other specified fetal blood loss	NA
316509013	Fetal blood loss NOS	NA
316730019	Congenital anaemia from fetal blood loss	NA
316764015	Idiopathic hydrops fetalis	NA
316924014	[X]Other fetal blood loss	NA
317731011	Abnormal amniotic fluid	NA
317815010	[D]Placental imaging abnormal	NA
317863013	[D]Abnormal placental function test	NA
319331000006113	[SO]Amniotic membrane	NA
3212181000006118	Retained products of conception, following delivery with haemorrhage	NA
321791000006118	Delivered uterus	NA
32261000006110	Other disorder of lactation - delivered with p/n comp	NA
323191000006118	[SO]Fetus	NA
3238421000006117	Vaginal delivery with forceps including postpartum care	NA
324051000006111	[SO]Gravid uterus	NA
3258001000006116	Gestational diabetes mellitus, class A>2<	NA
3265501000006112	Hospital admission, mother, for observation, delivered outside of hospital	NA
3273591000006114	Haemorrhage after delivery of fetus	NA
3289421000006118	FTND - Full term normal delivery	NA
3289431000006115	SVD - Spontaneous vaginal delivery	NA
3289441000006113	Normal delivery	NA
329273012	Amniocentesis with complication, without blame	NA
329371000006119	Placenta	NA
32948013	Mild hyperemesis gravidarum	NA
3301951000006113	Premature pregnancy delivered	NA
337091000006114	[V]Amniotic fluid to screen for alphafetoprotein levels	NA
338612017	Pre-termination counselling	NA
34291000006114	Other complications of labour and delivery - deliv +p/n prob	NA
34341000006112	Other complications of labour and delivery with a/n problem	NA
34351000006114	Other complications of labour and delivery with p/n problem	NA
34491000006113	Other complications of the puerperium - delivered + p/n comp	NA
3463071000006110	Undelivered in utero fetal death	NA
3463081000006113	Undelivered in utero foetal death	NA
3475441000006118	Hospital admission, infant, for observation, delivered outside of hospital	NA
3491181000006110	Separation of symphysis pubis during delivery	NA
349391000006115	[V]Supervision of pregnancy with history of insufficient antenatal care	NA
35001000006114	Other complication obstetric surg wound -delivered +p/n comp	NA
3503056015	Delivery by mid-vacuum extraction	NA
350686016	Genital varices in pregnancy	NA
350687013	Perineal varices in pregnancy	NA
3516233017	Emergency classical caesarean section with bilateral tubal ligation	NA
3516241017	Elective upper segment caesarean section with bilateral tubal ligation	NA
3516291000006115	Mid forceps delivery	NA
3518481017	Twin live born in hospital by vaginal delivery	NA
3530782018	Estimated date of delivery from antenatal ultrasound scan	NA
353610019	Cholestasis of pregnancy	NA
3544551000006114	Traumatic lesion during delivery	NA
355467015	Suspected foetal damage from maternal alcohol	NA
355468013	Suspected foetal damage from maternal toxoplasmosis	NA
355469017	Fetus with suspected rubella damage via mother	NA
355471017	Suspect cystic fibrosis fetus	NA
355472012	Suspect fetal spina bifida	NA
355473019	Suspect fetal hydrocephaly	NA
355474013	Suspected foetal anencephaly	NA
355480017	Rigid perineum - baby delivered with postpartum complication	NA
355481018	Rigid perineum - baby delivered	NA
355488012	Persistent hymen - baby delivered	NA
355503015	Septate vagina - baby delivered with postpartum complication	NA
355504014	Septate vagina - baby delivered	NA
355522012	Rectocele - delivered with postpartum complication	NA
355523019	Cystocele - delivered with postpartum complication	NA
355524013	Cystocele affecting obstetric care	NA
355526010	Rectocele - baby delivered	NA
355527018	Cystocele - baby delivered	NA
355535015	Uterine fibroid - baby delivered	NA
355536019	Uterine fibroid affecting obstetric care	NA
355544019	Bicornuate uterus - baby delivered	NA
355545018	Bicornuate uterus affecting obstetric care	NA
355548016	Heart disease during pregnancy	NA
355549012	Congenital heart disease in pregnancy	NA
355550012	Pregnancy and drug dependence	NA
355551011	Rubella contact in pregnancy	NA
355552016	Uraemia in pregnancy without hypertension	NA
355554015	Nephropathy NOS in pregnancy without hypertension	NA
355557010	Concealed pregnancy	NA
355564012	Teenage pregnancy	NA
355605016	Antepartum haemorrhage with hypofibrinogenaemia	NA
355606015	Antepartum haemorrhage with hyperfibrinolysis	NA
355609010	Antepartum haemorrhage with afibrinogenaemia	NA
355621014	Transient hypertension of pregnancy	NA
355622019	Toxaemia of pregnancy	NA
355625017	Moderate pre-eclampsia	NA
355631019	Gestational oedema	NA
355633016	Vaginal varices in pregnancy	NA
355634010	Vulval varices in pregnancy	NA
355642011	Placental insufficiency	NA
355648010	Morbidly adherent placenta	NA
355656013	Anti-D isoimmunisation affecting pregnancy	NA
355670013	Breech delivery	NA
355677011	Vaginal delivery following previous caesarean section	NA
355682016	Uterine or cervical spasm	NA
355743010	Fetal intrapartum death	NA
3560811000006110	Delivery by midwife	NA
358325012	Pregnancy pruritus	NA
35861000006115	Other cervical abn complicating a/n care- baby not delivered	NA
35871000006110	Other cervical abn complicating p/n care - baby deliv prev	NA
35891000006111	Other cervical abnormality - baby delivered+postpartum compl	NA
359943012	External cephalic version	NA
359966013	Fetal tachycardia	NA
359967016	Fetal bradycardia	NA
359975010	Fetal acidosis	NA
359997012	Fetus affected by placental insufficiency	NA
361030010	Obstetric X-ray - placenta	NA
361118019	Placentography-contrast	NA
361321000000115	Gestational age	NA
361432012	Placenta isotope study	NA
361612019	Fetal echocardiography	NA
36271000006119	Other cardiovasc dis in puerp - baby previously delivered	NA
36281000006116	Other cardiovasc dis in puerperium - baby delivered	NA
36301000006117	Other cardiovascular dis in pregnancy - baby not delivered	NA
36311000006119	Other cardiovascular disease in pregnancy - baby delivered	NA
363331000006114	[X]Antenatal screening for fetal growth retardation using ultrasonics and other physical methods	NA
363341000006116	[X]Antenatal screening for malformations using ultrasonics and other physical methods	NA
364616017	Antenatal screening	NA
36501000006110	Other blood-group isoimmunisation - delivered	NA
365051000000112	Percutaneous serial drainage of amniotic fluid	NA
365071000000115	Maternal cervical assessment	NA
3657551000006113	Forceps delivery with rotation of fetal head	NA
366071000000112	Therapeutic endoscopic operations for twin-twin transfusion	NA
366111000000118	Routine obstetric scan	NA
366131000000114	Dating scan	NA
366171000000111	Percutaneous insertion of bladder drain to fetus	NA
366191000000110	Other non routine obstetric scan	NA
366211000000114	Other maternal physiological assessments	NA
366231000000118	Cervical length scanning at 24 weeks	NA
366251000000113	US obstetric doppler	NA
366271000000116	Mid trimester scan	NA
366531000000116	Fetal anatomy study	NA
366551000000111	Non routine obstetric scan for fetal observations	NA
366571000000119	Fetal ascites scan	NA
366591000000115	Rhesus detailed scan	NA
366631000000115	Percutaneous insertion of fetal pleural drain	NA
366931000000111	Ultrasound monitoring of early pregnancy	NA
366951000000116	Ultrasound monitoring of luteal phase	NA
367011000000116	Obstetric ultrasound monitoring	NA
36966018	Intrauterine growth retardation	NA
3698941000006110	Neonatal jaundice associated with preterm delivery	NA
3698991000006118	Neonatal jaundice after preterm delivery	NA
371261000000111	Delivery of rehabilitation for rheumatoid arthritis	NA
371261000006116	[X]Complication of anaesthesia during labour and deliv unsp	NA
371351000006112	[X]Conditions involving the integument and temperature regulation of fetus and newborn	NA
371606013	Height of uterine fundus	NA
371636016	Quickening	NA
371828010	Membranes complete	NA
371830012	Membranes incomplete	NA
371881019	Vaginal tear during delivery	NA
3719631000006112	Gestational diabetes mellitus, class A>1<	NA
3719641000006119	GDM, class A>1<	NA
372041000000113	Over 20 weeks gestational age	NA
