medcodeid	Term	delivery
1751781000006119	NHS Sickle Cell and Thalassaemia Screening Programme Sardinia family origin	NA
1751791000006116	NHS Sickle Cell and Thalassaemia Screening Programme Greece, Turkey, Cyprus family origin	NA
1751801000006115	NHS Sickle Cell and Thalassaemia Screening Programme Italy, Portugal, Spain family origin	NA
1751811000006117	NHS Sickle Cell and Thalassaemia Screening Programme family origin United Kingdom (white)	NA
1751821000006113	NHS Sickle Cell and Thalassaemia Screening Programme family origin Northern European (white)	NA
1751831000006111	NHS Sickle Cell and Thalassaemia Screening Programme Austria, Belgium, Ireland, France, Germany, Netherlands family origin	NA
1751841000006118	NHS Sickle Cell and Thalassaemia Screening Programme Scandinavia, Switzerland family origin	NA
1753151000006110	Antenatal screening shows non significant haemoglobinopathy carrier	NA
1753161000006112	Antenatal screening shows carrier of significant haemoglobinopathy including sickle cell or thalassaemia	NA
1757081000006111	Test request : Serum alpha-feto protein	NA
1760901000006114	Ventilator delivered tidal volume	NA
1761371000000115	Estimated date of delivery by antenatal ultrasound scan	NA
176931000006115	Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication	NA
176941000006113	Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered	NA
176951000006110	Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered	NA
1771531000006110	Antenatal depression	NA
1772845015	Caesarean wound disruption	NA
1774941000006110	Antenatal blood group antibody screen	NA
1774951000006112	Test request : Antenatal blood group antibody screen	NA
1775661000000110	Seen in early pregnancy assessment unit	NA
1776431000006117	Reason for referral: Antenatal Care	NA
1778141000006116	Group session: Antenatal session	NA
1778714018	[X]Abnormal finding on antenatal screening of mother	NA
1780294012	Cold agglutinins level: foetal cells	NA
1784777016	Abnormal ultrasonic finding on antenatal screening of mother	NA
1785881000006119	Antenatal depression	NA
178682016	Conjoined twins causing disproportion	NA
1786841000006118	Gestational diabetes mellitus annual review	NA
1800911000006114	Education about listeria precautions during pregnancy	NA
1804271000006118	Height of gravid uterus	NA
1805951000006117	A/N care: no social risk	NA
1805971000006110	A/N care: no obstetric risk	NA
1811481000006115	Pregnancy associated plasma protein A level	NA
1811491000006117	Pregnancy associated plasma protein A multiple of median	NA
181151000006110	Removal of cerclage from cervix of gravid uterus	NA
1816741000006114	Premature labour and delivery	NA
1816751000006111	Premature labour without delivery	NA
1816761000006113	Premature labour with premature delivery	NA
1816771000006118	Premature labour with term delivery	NA
1816781000006115	Premature delivery without labour	NA
18241000000110	FP24 - mat claim-on obst.list	NA
1824831000006112	Adverse reaction to Pregnacare	NA
18251000000113	FP24 signed by patient	NA
182631000006117	Removal of Shirodkar suture	NA
18271000000116	FP24 claim checked by staff	NA
18281000000119	FP24 sent to FPC	NA
18301000000118	FP24 paid by FPC - underpaid	NA
18311000000116	FP24 paid by FPC - overpaid	NA
18321000000110	FP24 -FPC contacted re mistake	NA
18331000000112	FP24 -FPC make up payment	NA
18341000000115	FP24 -FPC dispute fee due	NA
18351000000117	FP24 mat.claim status NOS	NA
183511000006117	Reduced fetal movement	NA
18380016	Amnionitis	NA
18381000000111	FP24A signed by patient	NA
1838991000006111	A/N 25 week examination	NA
1839001000006111	A/N 22 week examination	NA
1839011000006114	A/N 31 week examination	NA
1839721000006116	Cardiotocogram (CTG)	NA
18401000000111	FP24A claim checked by staff	NA
18411000000113	FP24A sent to FPC	NA
18421000000119	FP24A paid by FPC - checked	NA
18431000000117	FP24A paid by FPC - underpaid	NA
18441000000114	FP24A paid by FPC - overpaid	NA
18481000000118	FP24A mat.claim status NOS	NA
1848841000006111	DNA pertussis vaccination in pregnancy-enhanced serv admin	NA
18491000000116	Mat booking after 31 weeks	NA
1850951000006116	Reason for influenza vaccine - pregnant	NA
18511000000112	HSA1-therap. abort. green form	NA
18521000000118	HSA1- form eligible	NA
18531000000116	HSA1- form signed	NA
18541000000113	HSA1- refused to sign	NA
18551000000111	HSA1- green form NOS	NA
18571000000119	GMS2 claim signed by patient	NA
18591000000115	GMS2 claim checked by staff	NA
18601000000114	GMS2 claim sent to HA	NA
18611000000111	GMS2 claim paid by HA - checked	NA
18671000000118	GMS2 claim - HA contacted re mistake	NA
1868571000006112	Pertussis vaccination programme for pregnant women enhanced service administration	NA
18691000000119	GMS2 claim - HA make up payment	NA
18711000000117	GMS2 claim - HA dispute fee due	NA
1871721000006118	Test request : Sickle cell disease screen	NA
1876071000006110	Health visitor antenatal visit	NA
1883151000006117	Gravida more than 10	NA
1884341000006118	Complete placenta at delivery	NA
1884361000006119	Membranes complete	NA
1884371000006114	Membranes incomplete	NA
1884381000006112	Time of delivery	NA
1884761000006118	Advice on risks of harm to mother from maternal medication during pregnancy	NA
1884771000006113	Advice on risks of harm to fetus from maternal medication during pregnancy	NA
1886831000006114	On DALLAS (Delivering Assisted Living Lifestyles at Scale) programme	NA
188881000006115	Rectocele complicating antenatal care - baby not yet delivered	NA
188891000006117	Rectocele complicating postpartum care - baby delivered during previous episode of care	NA
1894211000006113	Did not attend antenatal appointment	NA
1896071000006116	Antenatal risk assessment	NA
1898141000006112	Antepartum stillbirth	NA
1899391000006110	Unborn child is cause for concern	NA
19021000006110	Other problems of amniotic cavity and membranes	NA
1904691000006114	Concealed pregnancy	NA
1907701000006117	Substance misuse treatment programme delivered by other healthcare provider	NA
1908131000033112	Pregnacare	NA
1917021000006111	Actual delivery place	NA
1917031000006114	Actual delivery - in NHS hospital with midwife ward facilities	NA
1917041000006116	Actual delivery - at a domestic address	NA
1917051000006119	Actual delivery - in NHS hospital with consultant ward facilities	NA
1917061000006117	Actual delivery - in NHS hospital with GP ward facilities	NA
1917071000006112	Actual delivery - in NHS hospital consultant/GP/midwife ward (any combination of two)	NA
1917081000006110	Actual delivery - in private hospital	NA
1917091000006113	Actual delivery - in other hospital or institution	NA
1917101000006119	Actual delivery - in NHS hospital without unit/ward delivery facilities	NA
1917111000006116	Actual delivery - not otherwise specified	NA
1917121000006112	Actual delivery - not known	NA
1924391000006113	Order of birth at delivery	NA
1933441000006112	CPU medical advice line-unborn child's expected date of delivery	NA
1934241000006113	Parenting intervention delivered by community nursery nurse	NA
1934251000006110	Parenting intervention delivered by school nurse	NA
1934261000006112	Parenting intervention delivered by staff nurse	NA
1934271000006117	Parenting intervention delivered by health visitor	NA
1934281000006119	Parenting intervention delivered by voluntary agency	NA
1934291000006116	Parenting intervention delivered by social services	NA
1934301000006115	Parenting intervention delivered by education service	NA
1934311000006117	Parenting intervention delivered by health service	NA
1934511000006111	Parenting intervention delivered by library service	NA
1934521000006115	Parenting intervention delivered by housing association	NA
