prodcodeid	productname	priority_2	priority_1
5440641000033119	HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
5079841000033118	HumaPen Memoir hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
8318141000033117	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
8318241000033112	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
8318341000033119	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
8318441000033113	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
8318541000033114	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
8318641000033110	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
2868441000033119	Humulin 50/50  Injection  100 units/ml, 10 ml vial	1	NA
2868241000033115	Humulin 70/30  Injection  100 units/ml, 10 ml vial	1	NA
2868141000033110	Humulin 80/20  Injection  100 units/ml, 10 ml vial	1	NA
719841000033112	Humulin I  Cartridges (1.5 Ml)  100 units/ml	1	NA
724041000033112	Humulin I 100units/ml suspension for injection 10ml vials	1	NA
1615941000033113	Humulin I 100units/ml suspension for injection 3ml cartridges	1	NA
5911541000033119	Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
2182441000033113	Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
725841000033118	Humulin Lente 100units/ml suspension for injection 10ml vials	1	NA
719941000033116	Humulin M1  Cartridges (1.5 Ml)	1	NA
1616141000033116	Humulin M1  Cartridges (3 Ml)	1	NA
724141000033111	Humulin M1  Injection	1	NA
720041000033118	Humulin M2  Cartridges (1.5 Ml)	1	NA
724241000033116	Humulin M2  Injection	1	NA
1616241000033111	Humulin M2 100units/ml suspension for injection 3ml cartridges	1	NA
720141000033119	Humulin M3 (Lilly)  Cartridges (1.5 Ml)	1	NA
725341000033110	Humulin M3 100units/ml suspension for injection 10ml vials	1	NA
1616341000033118	Humulin M3 100units/ml suspension for injection 3ml cartridges	1	NA
5910741000033117	Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
3333841000033113	Humulin M3 Pen 100units/ml suspension for injection 3ml pre-filled pens	1	NA
720241000033114	Humulin M4  Cartridges (1.5 Ml)	1	NA
1616441000033112	Humulin M4  Cartridges (3 Ml)	1	NA
725241000033117	Humulin M4  Injection	1	NA
720441000033110	Humulin M5  Cartridges (1.5 Ml)	1	NA
722841000033112	Humulin M5 100units/ml suspension for injection 10ml vials	1	NA
721141000033114	Humulin M5 50/50  Cartridges	1	NA
4423041000033114	Humulin R 500units/ml solution for injection 20ml vials	1	NA
12481641000033116	Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pens	1	NA
720341000033116	Humulin S  Cartridges (1.5 Ml)  100 units/ml	1	NA
724341000033114	Humulin S 100units/ml solution for injection 10ml vials	1	NA
1616041000033115	Humulin S 100units/ml solution for injection 3ml cartridges	1	NA
724541000033119	Humulin Zn 100units/ml suspension for injection 10ml vials	1	NA
741441000033115	Hypodermic Insulin  Syringe	1	NA
5709141000033115	Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units	1	NA
5709241000033110	Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units	1	NA
5709341000033117	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units	1	NA
5709441000033111	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units	1	NA
5709541000033112	Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units	1	NA
5709641000033113	Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units	1	NA
8623241000033116	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge	1	NA
8495841000033112	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge	1	NA
5732041000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge	1	NA
5732141000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge	1	NA
5732441000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
8495441000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge	1	NA
8586341000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge	1	NA
5733041000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
9161441000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge	1	NA
8495341000033115	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge	1	NA
8884241000033118	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge	1	NA
5733341000033113	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
8495741000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge	1	NA
5733441000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
11414441000033116	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge	1	NA
8495541000033110	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge	1	NA
5909641000033116	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge	1	NA
5733541000033118	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge	1	NA
5733741000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
8586441000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32.5gauge	1	NA
8495641000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge	1	NA
5734041000033114	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge	1	NA
5734141000033113	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge	1	NA
8535941000033119	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge	1	NA
8966741000033113	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge	1	NA
5734241000033118	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge	1	NA
5734341000033111	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge	1	NA
1703341000033115	Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge	1	NA
1480541000033110	Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge	1	NA
1703841000033112	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge	1	NA
1480941000033116	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge	1	NA
1481041000033114	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.36mm/28gauge	1	NA
5709941000033118	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.3mm/30gauge	1	NA
1481141000033113	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.4mm/27gauge	1	NA
3111041000033116	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge	1	NA
1703441000033114	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge	1	NA
1703541000033110	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge	1	NA
5710041000033114	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.3mm/30gauge	1	NA
1703641000033111	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.4mm/27gauge	1	NA
735841000033116	Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials	1	NA
2917041000033118	Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges	1	NA
735941000033112	Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials	1	NA
736041000033119	Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials	1	NA
2916941000033119	Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges	1	NA
736141000033115	Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials	1	NA
2018941000033112	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges	1	NA
2018841000033116	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials	1	NA
2917341000033116	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges	1	NA
734941000033111	Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials	1	NA
2917241000033114	Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges	1	NA
735441000033119	Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials	1	NA
2917141000033119	Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges	1	NA
5905141000033111	IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
5905241000033116	IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
2284041000033113	Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units	1	NA
2284141000033112	Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units	1	NA
2953241000033110	Insulatard 100units/ml suspension for injection 10ml vials	1	NA
2796741000033112	Insulatard FlexPen 100units/ml suspension for injection	1	NA
2644641000033113	Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens	1	NA
2953141000033115	Insulatard NovoLet 100units/ml suspension for injection	1	NA
2953341000033117	Insulatard Penfill 100units/ml suspension for injection 3ml cartridges	1	NA
1862141000033112	Insulin Aspart  Prefilled syringes  100 units/ml	1	NA
9677041000033116	Insulin aspart 100units/ml solution for injection 1.6ml cartridges	1	NA
1861941000033119	Insulin aspart 100units/ml solution for injection 10ml vials	1	NA
1862041000033113	Insulin aspart 100units/ml solution for injection 3ml cartridges	1	NA
3277741000033118	Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices	1	NA
8264341000033118	Insulin degludec 100units/ml solution for injection 3ml cartridges	1	NA
8263941000033117	Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices	1	NA
8264041000033115	Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices	1	NA
3137041000033115	Insulin detemir 100units/ml solution for injection 3ml cartridges	1	NA
3136941000033116	Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices	1	NA
12902741000033120	Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices	1	NA
12902841000033112	Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices	1	NA
2798841000033115	Insulin glargine 100units/ml solution for injection 10ml vials	1	NA
2798941000033111	Insulin glargine 100units/ml solution for injection 3ml cartridges	1	NA
2799041000033119	Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices	1	NA
10494241000033110	Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices	1	NA
12998741000033120	Insulin glargine 300units/ml solution for injection 3ml pre-filled disposable devices	1	NA
3345641000033114	Insulin glulisine 100units/ml solution for injection 10ml vials	1	NA
3345741000033117	Insulin glulisine 100units/ml solution for injection 3ml cartridges	1	NA
3914241000033112	Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices	1	NA
1821641000033119	Insulin isophane bovine 100units/ml suspension for injection 10ml vials	1	NA
1821741000033111	Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges	1	NA
779141000033111	Insulin isophane human 100units/ml suspension for injection 10ml vials	1	NA
1821441000033116	Insulin isophane porcine 100units/ml suspension for injection 10ml vials	1	NA
1821541000033115	Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges	1	NA
757641000033112	Insulin lispro 100units/ml solution for injection 1.5ml cartridges	1	NA
762441000033118	Insulin lispro 100units/ml solution for injection 10ml vials	1	NA
1739941000033110	Insulin lispro 100units/ml solution for injection 3ml cartridges	1	NA
2182241000033112	Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices	1	NA
10252641000033112	Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices	1	NA
12600741000033116	Insulin lispro Sanofi 100units/ml solution for injection 10ml vials	1	NA
12600841000033114	Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges	1	NA
12600941000033118	Insulin lispro Sanofi 100units/ml solution for injection 3ml pre-filled pens	1	NA
1119741000033114	Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials	1	NA
12624241000033112	Insulin soluble porcine 100units/ml solution for injection 10ml vials	1	NA
758341000033117	Insulin Syringe  Click-count  1 ml	1	NA
758441000033111	Insulin Syringe  Disposable  0.5 ml	1	NA
758541000033112	Insulin Syringe  Disposable  1 ml	1	NA
766241000033115	Insulin Syringe  Pre-set  1 ml	1	NA
766741000033114	Insulin Syringe  Re-usable  0.5 ml	1	NA
766841000033116	Insulin Syringe  Re-usable  1 ml	1	NA
763941000033117	Insulin Zinc Suspension  Injection  100 units/ml	1	NA
759841000033115	Insulin Zinc Suspension (Human)  Injection  100 units/ml, 10 ml vial	1	NA
764941000033119	Insulin Zinc Suspension Lente (Evans)  Injection  100u/ml	1	NA
2035441000033117	Insuman Basal 100units/ml suspension for injection 3ml cartridges	1	NA
2266841000033110	Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pens	1	NA
6389641000033111	Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens	1	NA
2035241000033118	Insuman Basal 100units/ml suspension for injection 5ml vials	1	NA
2158541000033117	Insuman Comb 15 100units/ml suspension for injection 3ml cartridges	1	NA
2267041000033118	Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pens	1	NA
2158441000033118	Insuman Comb 15 100units/ml suspension for injection 5ml vials	1	NA
2035641000033115	Insuman Comb 25 100units/ml suspension for injection 3ml cartridges	1	NA
2267141000033119	Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pens	1	NA
6011841000033112	Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pens	1	NA
2035541000033116	Insuman Comb 25 100units/ml suspension for injection 5ml vials	1	NA
2158741000033113	Insuman Comb 50 100units/ml suspension for injection 3ml cartridges	1	NA
2267241000033114	Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pens	1	NA
2158641000033116	Insuman Comb 50 100units/ml suspension for injection 5ml vials	1	NA
10674141000033112	Insuman Infusat 100units/ml solution for injection 10ml vials	1	NA
10674341000033114	Insuman Infusat 100units/ml solution for injection 3.15ml cartridges	1	NA
2034641000033119	Insuman Rapid 100units/ml solution for injection 3ml cartridges	1	NA
2266941000033119	Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens	1	NA
2034441000033116	Insuman Rapid 100units/ml solution for injection 5ml vials	1	NA
8244641000033115	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
8243941000033112	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
9161541000033110	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge	1	NA
8244041000033114	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
8244241000033118	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
8244341000033111	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge	1	NA
8244441000033117	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
8244541000033116	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge	1	NA
13602141000033112	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
13600541000033118	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
14035241000033112	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge	1	NA
13600741000033114	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
13600941000033112	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
13601241000033110	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge	1	NA
13601341000033116	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge	1	NA
13601541000033112	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
13601641000033112	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge	1	NA
779841000033117	Isophane Insulin  Injection  100 units/ml	1	NA
1620641000033115	Isophane Insulin (Human Pyr)  Injection  100 units/ml, 10 ml vial	1	NA
1621141000033118	Isophane Insulin (Human Pyr)  Penfill Cartridges (1.5 Ml)  100 units/ml	1	NA
1621241000033113	Isophane Insulin (Human Pyr)  Penfill cartridges (3 ml)  100 units/ml	1	NA
1621341000033115	Isophane Insulin (Human Pyr)  Preloaded pen  100 units/ml	1	NA
776041000033117	Isophane Insulin (Human, Prb)  Cartridges  100 units/ml	1	NA
779641000033118	Isophane Insulin Injection (Evans)  Injection  100 units/ml	1	NA
10259541000033118	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units	1	NA
10259641000033116	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units	1	NA
10259741000033114	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units	1	NA
8281541000033113	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge	1	NA
8281641000033114	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.3mm/30gauge	1	NA
8280641000033118	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.33mm/29gauge	1	NA
8280841000033117	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge	1	NA
8281741000033117	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.33mm/29gauge	1	NA
8281841000033110	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.3mm/30gauge	1	NA
8281141000033116	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.33mm/29gauge	1	NA
8281241000033111	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge	1	NA
8281941000033119	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge	1	NA
8282041000033113	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.3mm/30gauge	1	NA
8281341000033118	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.33mm/29gauge	1	NA
8281441000033112	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.3mm/30gauge	1	NA
13906641000033116	Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
13907241000033116	Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
13908341000033112	Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge	1	NA
2780741000033111	Lantus 100units/ml solution for injection 10ml vials	1	NA
2780841000033118	Lantus 100units/ml solution for injection 3ml cartridges	1	NA
3869341000033114	Lantus 100units/ml solution for injection 3ml OptiClik cartridges	1	NA
2780941000033114	Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens	1	NA
4258541000033111	Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens	1	NA
3137241000033111	Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens	1	NA
4126541000033110	Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens	1	NA
3137141000033116	Levemir Penfill 100units/ml solution for injection 3ml cartridges	1	NA
13605141000033116	Lyumjev 100units/ml solution for injection 10ml vials	1	NA
13605041000033116	Lyumjev 100units/ml solution for injection 3ml cartridges	1	NA
13604741000033120	Lyumjev Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens	1	NA
13604841000033112	Lyumjev KwikPen 100units/ml solution for injection 3ml pre-filled pens	1	NA
13604941000033116	Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens	1	NA
14041441000033112	Lyumjev Tempo Pen 100units/ml solution for injection 3ml pre-filled pens	1	NA
8954241000033119	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
8241541000033119	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
8241641000033118	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
13291741000033116	Microdot Dual Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge	1	NA
13106641000033118	Microdot Max hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
13106741000033110	Microdot Max hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
12711741000033116	Microdot Max Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge	1	NA
13155741000033112	Microdot Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge	1	NA
11813541000033114	Microdot Verifine Safety  Needles for insulin pens  5 mm/30 gauge	1	NA
2953441000033111	Mixtard 10 NovoLet 100units/ml suspension for injection	1	NA
2953541000033112	Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges	1	NA
2953641000033113	Mixtard 20 NovoLet 100units/ml suspension for injection	1	NA
2953741000033116	Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges	1	NA
2953941000033118	Mixtard 30 100units/ml suspension for injection 10ml vials	1	NA
2644741000033116	Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens	1	NA
2953841000033114	Mixtard 30 NovoLet 100units/ml suspension for injection	1	NA
2954041000033116	Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges	1	NA
2954141000033117	Mixtard 40 NovoLet 100units/ml suspension for injection	1	NA
2954241000033112	Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges	1	NA
2954341000033119	Mixtard 50 NovoLet 100units/ml suspension for injection	1	NA
2954541000033114	Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges	1	NA
924541000033112	Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge	1	NA
2954741000033118	Monotard 100units/ml suspension for injection 10ml vials	1	NA
926541000033117	Monotard Mc Insulin Zinc Susp Bp Nova  Injection  100 units/1 ml	1	NA
11536041000033116	Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
6448141000033113	Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge	1	NA
8056541000033115	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge	1	NA
8056641000033119	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge	1	NA
6463141000033112	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge	1	NA
8963741000033119	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge	1	NA
8056341000033110	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge	1	NA
8056441000033116	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge	1	NA
8880741000033117	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
12499641000033116	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
8880841000033110	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge	1	NA
8881041000033112	Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
8586541000033110	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge	1	NA
11414341000033114	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge	1	NA
8586641000033111	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32.5gauge	1	NA
10021741000033116	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
10021841000033114	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
10021941000033118	NeedleBay Fine Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
11736841000033112	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge	1	NA
11736941000033116	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
11736441000033110	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge	1	NA
11736541000033112	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
11736641000033112	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
11736741000033116	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
11814141000033120	Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
11814341000033116	Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge	1	NA
11737041000033116	Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
961041000033114	Neutral Insulin  Injection  100 units/ml	1	NA
962241000033112	Neutral Insulin (Evans)  Injection  100 units/ml	1	NA
961141000033113	Neutral Insulin (Human)  Injection  100 units/ml	1	NA
4128441000033113	NovoFine Autocover hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge	1	NA
1923341000033115	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge	1	NA
1923441000033114	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge	1	NA
1923241000033113	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
