prodcodeid	productname	priority_2	priority_1
1906641000033110	Disposable  Insulin syringe with needle  0.3 ml	1	NA
444941000033119	Disposable  Insulin syringe with needle  0.5 ml	1	NA
445041000033119	Disposable  Insulin syringe with needle  1 ml	1	NA
8052741000033110	Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge	1	NA
12480041000033116	Dropsafe Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
12480141000033118	Dropsafe Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
3938341000033116	Exubera  Insulin Release Units  box of 6	1	NA
3945141000033114	Exubera 1mg inhalation powder blisters	1	NA
3945241000033119	Exubera 3mg inhalation powder blisters	1	NA
12186441000033112	Fiasp 100units/ml solution for injection 10ml vials	1	NA
12186541000033112	Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens	1	NA
12186641000033112	Fiasp Penfill 100units/ml solution for injection 3ml cartridges	1	NA
10623541000033116	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge	1	NA
10639641000033120	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
10623141000033112	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
10623241000033116	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
10623341000033110	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
10623441000033116	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
12478141000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge	1	NA
12389441000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
12388941000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge	1	NA
12389141000033116	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
12389241000033112	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
12389341000033118	GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge	1	NA
12447541000033116	GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge	1	NA
14035641000033114	GlucoRx Dual-Safe Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
8623341000033114	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge	1	NA
8623441000033115	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge	1	NA
8622241000033111	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge	1	NA
8622341000033118	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge	1	NA
8622541000033113	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge	1	NA
